Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/14/2019,-2.562,-2.562,-2.562,-2.562,-0.078,0,0
11/13/2019,-2.484,-2.484,-2.484,-2.484,-0.021,0,0
11/12/2019,-2.463,-2.463,-2.463,-2.463,0.109,0,0
11/11/2019,-2.572,-2.572,-2.572,-2.572,0.062,0,0
11/07/2019,-2.634,-2.634,-2.634,-2.634,0.215,0,0
11/04/2019,-2.849,-2.849,-2.849,-2.849,-0.146,0,0
10/31/2019,-2.703,-2.703,-2.703,-2.703,-0.038,0,0
10/30/2019,-2.665,-2.665,-2.665,-2.665,0.073,0,0
10/29/2019,-2.738,-2.738,-2.738,-2.738,0.071,0,0
10/28/2019,-2.809,-2.809,-2.809,-2.809,0.214,0,0
10/24/2019,-3.023,-3.023,-3.023,-3.023,-0.024,0,0
10/23/2019,-2.999,-2.999,-2.999,-2.999,0.012,0,0
10/22/2019,-3.011,-3.011,-3.011,-3.011,0.052,0,0
10/21/2019,-3.063,-3.063,-3.063,-3.063,0.096,0,0
10/17/2019,-3.159,-3.159,-3.159,-3.159,0.018,0,0
10/16/2019,-3.177,-3.177,-3.177,-3.177,0.041,0,0
10/15/2019,-3.218,-3.218,-3.218,-3.218,0.047,0,0
10/14/2019,-3.265,-3.265,-3.265,-3.265,-0.091,0,0
10/10/2019,-3.174,-3.174,-3.174,-3.174,-0.094,0,0
10/09/2019,-3.08,-3.08,-3.08,-3.08,-0.063,0,0
10/08/2019,-3.017,-3.017,-3.017,-3.017,-0.023,0,0
10/07/2019,-2.994,-2.994,-2.994,-2.994,-0.013,0,0
10/03/2019,-2.981,-2.981,-2.981,-2.981,0.061,0,0
10/02/2019,-3.042,-3.042,-3.042,-3.042,0.192,0,0
10/01/2019,-3.234,-3.234,-3.234,-3.234,-0.021,0,0
09/30/2019,-3.213,-3.213,-3.213,-3.213,0.04,0,0
09/26/2019,-3.253,-3.253,-3.253,-3.253,0.019,0,0
09/24/2019,-3.272,-3.272,-3.272,-3.272,0.046,0,0
09/23/2019,-3.318,-3.318,-3.318,-3.318,0.0070000000000001,0,0
09/19/2019,-3.325,-3.325,-3.325,-3.325,-0.094,0,0
09/18/2019,-3.231,-3.231,-3.231,-3.231,0.031,0,0
09/17/2019,-3.262,-3.262,-3.262,-3.262,0.201,0,0
09/16/2019,-3.463,-3.463,-3.463,-3.463,-0.336,0,0
09/12/2019,-3.127,-3.127,-3.127,-3.127,0.149,0,0
09/11/2019,-3.276,-3.276,-3.276,-3.276,0.0010000000000003,0,0
09/10/2019,-3.277,-3.277,-3.277,-3.277,-0.4,0,0
09/09/2019,-2.877,-2.877,-2.877,-2.877,0.038,0,0
09/05/2019,-2.915,-2.915,-2.915,-2.915,-0.148,0,0
09/04/2019,-2.767,-2.767,-2.767,-2.767,-0.03,0,0
09/03/2019,-2.737,-2.737,-2.737,-2.737,0.147,0,0
08/29/2019,-2.884,-2.884,-2.884,-2.884,-0.034,0,0
08/28/2019,-2.85,-2.85,-2.85,-2.85,0.071,0,0
08/27/2019,-2.921,-2.921,-2.921,-2.921,0.05,0,0
08/26/2019,-2.971,-2.971,-2.971,-2.971,0.085,0,0
08/22/2019,-3.056,-3.056,-3.056,-3.056,0.061,0,0
08/21/2019,-3.117,-3.117,-3.117,-3.117,-0.06,0,0
08/20/2019,-3.057,-3.057,-3.057,-3.057,0.013,0,0
08/19/2019,-3.07,-3.07,-3.07,-3.07,-0.032,0,0
08/15/2019,-3.038,-3.038,-3.038,-3.038,0.16,0,0
08/14/2019,-3.198,-3.198,-3.198,-3.198,0.047,0,0
08/13/2019,-3.245,-3.245,-3.245,-3.245,-0.063,0,0
08/08/2019,-3.182,-3.182,-3.182,-3.182,0.013,0,0
08/07/2019,-3.195,-3.195,-3.195,-3.195,0.011,0,0
08/06/2019,-3.206,-3.206,-3.206,-3.206,0.074,0,0
08/05/2019,-3.28,-3.28,-3.28,-3.28,0.074,0,0
08/01/2019,-3.354,-3.354,-3.354,-3.354,-0.086,0,0
07/31/2019,-3.268,-3.268,-3.268,-3.268,0.039,0,0
07/30/2019,-3.307,-3.307,-3.307,-3.307,0.036,0,0
07/29/2019,-3.343,-3.343,-3.343,-3.343,0.066,0,0
07/25/2019,-3.409,-3.409,-3.409,-3.409,-0.037,0,0
07/24/2019,-3.372,-3.372,-3.372,-3.372,0.056,0,0
07/23/2019,-3.428,-3.428,-3.428,-3.428,-0.059,0,0
07/22/2019,-3.369,-3.369,-3.369,-3.369,0.0079999999999996,0,0
07/18/2019,-3.377,-3.377,-3.377,-3.377,0.075,0,0
07/17/2019,-3.452,-3.452,-3.452,-3.452,0.015,0,0
07/16/2019,-3.467,-3.467,-3.467,-3.467,0.236,0,0
07/15/2019,-3.703,-3.703,-3.703,-3.703,-0.019,0,0
07/11/2019,-3.684,-3.684,-3.684,-3.684,-0.249,0,0
07/10/2019,-3.435,-3.435,-3.435,-3.435,-0.137,0,0
07/09/2019,-3.298,-3.298,-3.298,-3.298,0.055,0,0
07/08/2019,-3.353,-3.353,-3.353,-3.353,-0.225,0,0
07/03/2019,-3.128,-3.128,-3.128,-3.128,0.04,0,0
07/02/2019,-3.168,-3.168,-3.168,-3.168,0.165,0,0
07/01/2019,-3.333,-3.333,-3.333,-3.333,0.015,0,0
06/27/2019,-3.348,-3.348,-3.348,-3.348,0.083,0,0
06/26/2019,-3.431,-3.431,-3.431,-3.431,-0.01,0,0
06/25/2019,-3.421,-3.421,-3.421,-3.421,0.0070000000000001,0,0
06/24/2019,-3.428,-3.428,-3.428,-3.428,-0.142,0,0
06/20/2019,-3.286,-3.286,-3.286,-3.286,-0.202,0,0
06/19/2019,-3.084,-3.084,-3.084,-3.084,0.057,0,0
06/18/2019,-3.141,-3.141,-3.141,-3.141,0.037,0,0
06/17/2019,-3.178,-3.178,-3.178,-3.178,0.137,0,0
06/13/2019,-3.315,-3.315,-3.315,-3.315,-0.058,0,0
06/12/2019,-3.257,-3.257,-3.257,-3.257,0.008,0,0
06/11/2019,-3.265,-3.265,-3.265,-3.265,0.195,0,0
06/10/2019,-3.46,-3.46,-3.46,-3.46,-0.253,0,0
06/06/2019,-3.207,-3.207,-3.207,-3.207,-0.011,0,0
06/05/2019,-3.196,-3.196,-3.196,-3.196,-0.056,0,0
06/04/2019,-3.14,-3.14,-3.14,-3.14,0.016,0,0
06/03/2019,-3.156,-3.156,-3.156,-3.156,0.212,0,0
05/30/2019,-3.368,-3.368,-3.368,-3.368,-0.018,0,0
05/29/2019,-3.35,-3.35,-3.35,-3.35,-0.017,0,0
05/23/2019,-3.333,-3.333,-3.333,-3.333,0.063,0,0
05/22/2019,-3.396,-3.396,-3.396,-3.396,-0.052,0,0
05/21/2019,-3.344,-3.344,-3.344,-3.344,-0.105,0,0
05/20/2019,-3.239,-3.239,-3.239,-3.239,0.077,0,0
05/16/2019,-3.316,-3.316,-3.316,-3.316,0.157,0,0
05/15/2019,-3.473,-3.473,-3.473,-3.473,-0.116,0,0
05/14/2019,-3.357,-3.357,-3.357,-3.357,-0.018,0,0
05/13/2019,-3.339,-3.339,-3.339,-3.339,0.148,0,0
05/09/2019,-3.487,-3.487,-3.487,-3.487,-0.031,0,0
05/08/2019,-3.456,-3.456,-3.456,-3.456,0.073,0,0
05/07/2019,-3.529,-3.529,-3.529,-3.529,0.01,0,0
05/06/2019,-3.539,-3.539,-3.539,-3.539,-0.194,0,0
05/02/2019,-3.345,-3.345,-3.345,-3.345,0.033,0,0
05/01/2019,-3.378,-3.378,-3.378,-3.378,0.188,0,0
04/30/2019,-3.566,-3.566,-3.566,-3.566,0.1,0,0
04/29/2019,-3.666,-3.666,-3.666,-3.666,0.074,0,0
04/25/2019,-3.74,-3.74,-3.74,-3.74,-0.012,0,0
04/24/2019,-3.728,-3.728,-3.728,-3.728,0.073,0,0
04/23/2019,-3.801,-3.801,-3.801,-3.801,-0.167,0,0
04/22/2019,-3.634,-3.634,-3.634,-3.634,-0.012,0,0
04/18/2019,-3.622,-3.622,-3.622,-3.622,0.142,0,0
04/17/2019,-3.764,-3.764,-3.764,-3.764,-0.147,0,0
04/16/2019,-3.617,-3.617,-3.617,-3.617,0.059,0,0
04/15/2019,-3.676,-3.676,-3.676,-3.676,0.117,0,0
04/11/2019,-3.793,-3.793,-3.793,-3.793,-0.068,0,0
04/10/2019,-3.725,-3.725,-3.725,-3.725,-0.172,0,0
04/08/2019,-3.553,-3.553,-3.553,-3.553,-0.039,0,0
04/04/2019,-3.514,-3.514,-3.514,-3.514,-0.217,0,0
04/03/2019,-3.297,-3.297,-3.297,-3.297,-0.168,0,0
04/02/2019,-3.129,-3.129,-3.129,-3.129,-0.0089999999999999,0,0
04/01/2019,-3.12,-3.12,-3.12,-3.12,0.162,0,0
03/27/2019,-3.282,-3.282,-3.282,-3.282,-0.154,0,0
03/26/2019,-3.128,-3.128,-3.128,-3.128,-0.069,0,0
03/25/2019,-3.059,-3.059,-3.059,-3.059,0.098,0,0
03/21/2019,-3.157,-3.157,-3.157,-3.157,0.079,0,0
03/20/2019,-3.236,-3.236,-3.236,-3.236,-0.136,0,0
03/19/2019,-3.1,-3.1,-3.1,-3.1,-0.028,0,0
03/18/2019,-3.072,-3.072,-3.072,-3.072,0.29,0,0
03/14/2019,-3.362,-3.362,-3.362,-3.362,0.03,0,0
03/13/2019,-3.392,-3.392,-3.392,-3.392,0.116,0,0
03/12/2019,-3.508,-3.508,-3.508,-3.508,0.103,0,0
03/11/2019,-3.611,-3.611,-3.611,-3.611,-0.0020000000000002,0,0
03/07/2019,-3.609,-3.609,-3.609,-3.609,0.026,0,0
03/06/2019,-3.635,-3.635,-3.635,-3.635,0.091,0,0
03/05/2019,-3.726,-3.726,-3.726,-3.726,0.135,0,0
02/27/2019,-3.861,-3.861,-3.861,-3.861,-0.157,0,0
02/26/2019,-3.704,-3.704,-3.704,-3.704,-0.043,0,0
02/25/2019,-3.661,-3.661,-3.661,-3.661,0.088,0,0
