Day,Price
1997-09-30,10.068027210884354
1997-10-01,10.476190476190476
1997-10-02,10.102040816326532
1997-10-03,9.897959183673471
1997-10-06,10.068027210884354
1997-10-07,9.557823129251702
1997-10-08,9.523809523809524
1997-10-09,9.523809523809524
1997-10-10,9.45578231292517
1997-10-13,9.761904761904763
1997-10-14,9.65986394557823
1997-10-15,9.65986394557823
1997-10-16,10.0
1997-10-17,10.102040816326532
1997-10-20,10.374149659863946
1997-10-21,10.646258503401361
1997-10-22,11.020408163265307
1997-10-23,11.360544217687075
1997-10-24,11.190476190476192
1997-10-27,11.768707482993198
1997-10-28,12.27891156462585
1997-10-29,11.734693877551022
1997-10-30,11.360544217687075
1997-10-31,10.952380952380954
1997-11-03,10.98639455782313
1997-11-04,10.714285714285715
1997-11-05,10.816326530612246
